Timestamp,capp,category,csource,ctags,hostName,shuffle_failed_outputs,shuffle_handler_busy_percent,shuffle_output_bytes,shuffle_success_outputs
1307526019,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307526029,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307526039,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307526049,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307526059,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307526069,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307526079,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307526089,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525439,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359861.log,mapred.shuffleOutput,sr216, cluster="chukwa",sr216,0,0,0,0
1307525449,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359861.log,mapred.shuffleOutput,sr216, cluster="chukwa",sr216,0,0,0,0
1307525459,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359861.log,mapred.shuffleOutput,sr216, cluster="chukwa",sr216,0,20,67942487,8
