Timestamp,capp,category,csource,ctags,gcCount,gcTimeMillis,hostName,memHeapCommittedM,memHeapUsedM,memNonHeapCommittedM,memNonHeapUsedM,processName,threadsBlocked,threadsNew,threadsRunnable,threadsTerminated,threadsTimedWaiting,threadsWaiting
1307525466,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",4,25,sr212,17.6875,6.8236465,23.1875,14.352669,SecondaryNameNode,0,0,5,0,3,2
1307525467,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",9,133,sr212,58.625,16.393265,36.8125,18.227211,JobTracker,0,0,8,0,9,16
1307525472,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",7,29,sr212,31,25.867767,23.1875,16.475273,NameNode,0,0,6,0,10,43
1307525476,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",4,25,sr212,17.6875,6.8236465,23.1875,14.352669,SecondaryNameNode,0,0,5,0,3,2
1307525477,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",9,133,sr212,58.625,30.668816,36.8125,18.280869,JobTracker,0,0,7,0,9,16
1307525482,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",8,35,sr212,30.3125,9.68251,23.1875,16.493294,NameNode,0,0,6,0,10,43
1307525486,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",4,25,sr212,17.6875,6.8236465,23.1875,14.35334,SecondaryNameNode,0,0,5,0,3,2
1307525487,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",9,133,sr212,58.625,40.612923,36.8125,18.347717,JobTracker,0,0,8,0,8,16
1307525492,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",8,35,sr212,30.3125,15.411713,23.1875,16.601654,NameNode,0,0,6,0,10,43
1307525496,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",4,25,sr212,17.6875,6.8237,23.1875,14.35334,SecondaryNameNode,0,0,5,0,3,2
1307525497,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",9,133,sr212,58.625,50.803337,36.8125,18.40055,JobTracker,0,0,8,0,9,16
1307525502,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",8,35,sr212,30.3125,20.891647,23.1875,16.631424,NameNode,0,0,6,0,10,43
1307525506,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",4,25,sr212,17.6875,6.8237,23.1875,14.35334,SecondaryNameNode,0,0,5,0,3,2
1307525507,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",10,145,sr212,59.125,15.878876,36.8125,18.46444,JobTracker,0,0,8,0,8,16
1307525512,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",8,35,sr212,30.3125,24.333603,23.1875,16.65326,NameNode,0,0,6,0,10,43
1307525516,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",4,25,sr212,17.6875,6.8237,23.1875,14.353569,SecondaryNameNode,0,0,5,0,3,2
1307525517,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",10,145,sr212,59.125,21.77681,36.8125,18.498688,JobTracker,0,0,8,0,8,16
